nome_empresarial,bairro,ano,lat,lng,tipo
CLS RESTAURANTE DO SUL LTDA,CENTRO,2009-04-14,-25.4412212,-49.27769,Restaurante
ROSANE DE LOURDES FONSECA CABRAL,CENTRO,2001-04-02,-25.4328803,-49.2640546,Bar/Choperia
JAS FUGIWARA  EPP,CENTRO,2002-12-01,-25.4342061,-49.282139,Lanchonete
A. K. RESTAURANTE LTDA - ME,CENTRO,2011-06-09,-25.4298488,-49.2668942,Restaurante
JUSITA LANCHES,CENTRO,2007-02-15,-25.4363661,-49.2794929,Lanchonete
LANCHONETE PARADA OBRIGATORIA,TATUQUARA,2009-05-18,-25.5718593,-49.3385524,Bar/Choperia
R. SILVA COMERCIO DE ALIMENTOS - EIRELI - EPP,CENTRO,2012-12-13,-25.4345923,-49.2763081,Lanchonete
VILLA VIOLA BAR,BATEL,2008-07-18,-25.446054,-49.2957159,Bar/Choperia
AOS DEMOCRATAS BAR E RESTAURANTE,CENTRO,2003-03-25,-25.43889,-49.2789049,Bar/Choperia
C H R ALIMENTOS LTDA ME,CENTRO,2003-05-07,-25.4342064,-49.2647248,Lanchonete
J  BAZILIO DA SILVA,BATEL,1997-06-16,-25.4401938,-49.282022,Padaria/Confeitaria
R V R  SNOOKER  BAR E DIVERSOES ELETRONICAS LTDA,CENTRO,1997-04-10,-25.4317955,-49.27376,Jogo
SILVANIA DUTRA DE OLIVEIRA,CENTRO,2003-06-01,-25.4319222,-49.2758913,Restaurante
MARIA IZABEL DE OLIVEIRA - LANCHONETE,CENTRO,2002-03-01,-25.4347319,-49.2752531,Bar/Choperia
JOSE BADARO DA SILVA SOBRINHO,TATUQUARA,2003-03-15,-25.4303156,-49.280998,Lanchonete
LANCHONETE SON LEE LTDA,CENTRO,1990-01-02,-25.4312512,-49.2662806,Mercado/Mercearia
CAFE SAN FRANCISCO,CENTRO,2013-02-28,-25.4337681,-49.2811529,Café
GALINHO S BAR E LANCHONETE LTDA ME,CENTRO,1986-08-15,-25.4317792,-49.2613385,Bar/Choperia
GOLD BAR,CENTRO,2012-09-21,-25.428915,-49.2697823,Bar/Choperia
PAULO ROBERTO LUGUES,TATUQUARA,1986-02-12,-25.5510394,-49.295805,Bar/Choperia
JOAQUIM JOAO DOS SANTOS - BAR,TATUQUARA,2008-04-28,-25.5738772,-49.3364548,Jogo
RESTAURANTE OHANA BATEL,BATEL,2013-07-09,-25.4399516,-49.2814836,Restaurante
TON TEMPERO,CENTRO,2011-08-02,-25.4301241,-49.2650026,Lanchonete
STORRER & WIELEVSKI LTDA,CENTRO,1996-09-01,-25.4331667,-49.276746,Jogo
MERCEARIA PALMEIRAO LTDA,TATUQUARA,1981-08-15,-25.5511224,-49.2982026,Mercado/Mercearia
WILSON SOARES DA FONSECA,BATEL,1991-09-01,-25.4394367,-49.2854621,Bar/Choperia
RUFAPE ENTRETENIMENTO LTDA - ME,BATEL,2006-05-01,-25.4371807,-49.286903,Bar/Choperia
TATIANA ZANELATTO DOMINGUES 03290068943,CENTRO,2010-07-06,-25.4269476,-49.2705404,Restaurante
DALUISA COMERCIO DE ALIMENTOS LTDA,CENTRO,2003-08-01,-25.434299,-49.2724138,Restaurante
PIZZARIA GUGA,TATUQUARA,2009-08-06,-25.5519036,-49.2925913,Pizzaria
BUONO PALATTO RESTAURANTE LTDA,BATEL,1992-07-20,-25.4382033,-49.2840517,Restaurante
HOMIES BAR LTDA,BATEL,2005-06-15,-25.4383507,-49.2808492,Bar/Choperia
BEM COMER COM SUCOS NATURAIS LTDA,CENTRO,1991-04-26,-25.4385605,-49.2696014,Padaria/Confeitaria
SHARM BAR LTDA,CENTRO,2003-02-01,-25.4317055,-49.2765558,Jogo
RESTAURANTE DOM RODRIGO,CENTRO,2005-10-10,-25.4302603,-49.2716468,Restaurante
ALL BURGUER LTDA,BATEL,2007-11-01,-25.4406691,-49.2821262,Fastfood
DA LIC COM PASTEIS LANCHES RAP LT,CENTRO,1982-12-13,-25.4307359,-49.2754045,Pastelaria
SUPER BOM LANCHONETE LTDA,CENTRO,2007-06-01,-25.4280373,-49.270283,Bar/Choperia
RESTAURANTE DUCK JOON LTDA,CENTRO,2003-07-21,-25.4312609,-49.2755059,Lanchonete
DECK BAR E GRILL LTDA - ME,BATEL,2003-08-01,-25.4426939,-49.280145,Churrascaria/Grill
JOAO & MARIA PASTELARIA,CENTRO,2008-08-01,-25.4290011,-49.2729486,Pastelaria
PASTELARIA E LANCHONETE RU YI LTDA,CENTRO,2010-10-06,-25.4329692,-49.2711861,Pastelaria
CHEF VERGE COMERCIO DE ALIMENTOS  LTDA,CENTRO,1996-09-23,-25.4412212,-49.27769,Lanchonete
BRUTUS RESTAURANTE,CENTRO,2011-05-31,-25.4310981,-49.2633982,Lanchonete
JUVALDIVIA RESTAURANTE E LANCHERIA LTDA - ME,CENTRO,2013-03-05,-25.4321178,-49.2773374,Lanchonete
BRUELA-COM E SERV ALIMENT LTDA,BATEL,1983-03-04,-25.4440684,-49.2913366,Pizzaria
MH FOOD COMERCIO DE ALIMENTOS LTDA,BATEL,1992-12-15,-25.4387402,-49.2820798,Pizzaria
CAFE NICOLINI,CENTRO,2007-12-19,-25.4348578,-49.2779799,Café
CARRIEL E CIA LTDA,CENTRO,1981-10-01,-25.4287509,-49.2693542,Bar/Choperia
REST SPAGHETERIA PONTE VECCHIO LT,CENTRO,1992-08-01,-25.429129,-49.2617178,Restaurante
ROSANGELA CORREA PRADO - FRIOS,CENTRO,2004-05-28,-25.4370998,-49.2744241,Lanchonete
FRATELLI PIZZAS E MASSAS LTDA,CENTRO,2010-01-22,-25.4279572,-49.2618874,Pizzaria
AL DAR BAR E RESTAURANTE LTDA,CENTRO,2000-01-13,-25.431054,-49.2806818,Bar/Choperia
LANCHONETE MURICY LTDA - ME,CENTRO,2013-06-10,-25.436163,-49.2705658,Lanchonete
UAHAD COMERCIAL DE ALIMENTOS LTDA,CENTRO,2009-02-19,-25.4301112,-49.2617256,Lanchonete
MERCEARIA LUZ DA CONCEICAO LTDA,CENTRO,1980-06-02,-25.4280817,-49.2664715,Mercado/Mercearia
M ARABIAN FOOD LANCHONETE LTDA,CENTRO,1995-04-01,-25.4348311,-49.2812335,Típico
ELENA ERIKA MURAYAMA ME,CENTRO,2011-01-28,-25.4345844,-49.2749135,Restaurante
KIREI RESTAURANTE,CENTRO,2013-03-06,-25.42609,-49.2687164,Lanchonete
PAULA MAY TAOUIL,CENTRO,2007-12-13,-25.4340165,-49.2823339,Lanchonete
PAO DE QUEIJO MASTER,CENTRO,2013-10-10,-25.4259314,-49.2705133,Lanchonete
JIG'S MIX,CENTRO,2014-04-17,-25.4323233,-49.281911,Lanchonete
SLAVIERO SERVICOS DE RESTAURANTE LTDA,CENTRO,2001-08-01,-25.4322997,-49.2742503,Restaurante
RESTAURANTE E LANCHONENTE TRIBUS LTDA,CENTRO,2007-09-01,-25.4334451,-49.2654438,Lanchonete
TOME LANCHES E GRILL LTDA  - ME,CENTRO,2013-09-05,-25.4374627,-49.2744493,Churrascaria/Grill
ADENIS DE JESUS,CENTRO,2005-05-25,-25.4387483,-49.2783957,Lanchonete
CAFE E CULTURA LTDA - ME,CENTRO,1987-01-26,-25.4312609,-49.2755059,Café
GIOSITA COMERCIO DE ALIMENTOS LTDA,CENTRO,1981-08-25,-25.4361436,-49.274669,Lanchonete
LANCHONETE VENHA  K  LTDA,CENTRO,1995-08-01,-25.4288997,-49.2720055,Bar/Choperia
CARLOS ALBERTO BABINSKI,CENTRO,1984-03-01,-25.4314808,-49.277889,Lanchonete
RESTAURANTE EUROGRILL LTDA,CENTRO,2001-03-07,-25.4301241,-49.2650026,Churrascaria/Grill
SAO VICENTE LANCHES LTDA,CENTRO,2005-05-02,-25.4350682,-49.2801697,Lanchonete
BRUTINE COMERCIO DE ALIMENTOS LTD,CENTRO,1994-05-15,-25.4352558,-49.2785467,Padaria/Confeitaria
APARECIDO RAIMUNDO DA SILVA,TATUQUARA,1999-05-31,-25.5647434,-49.3294354,Jogo
LANCHONETE E RESTAURANTE DIMAS,CENTRO,2009-06-02,-25.4307953,-49.2760606,Lanchonete
BERTOLINI BATEL RESTAURANTE LTDA ME,BATEL,2011-08-07,-25.4438183,-49.2920118,Restaurante
PONTO CURYTIBANO CAFE BAR E PETISCARIA LTDA,BATEL,2002-08-12,-25.4355353,-49.2851378,Café
GUSSO RESTAURANTE LTDA,CENTRO,1997-11-05,-25.4322176,-49.2743296,Restaurante
IMBISS ALIMENTOS LTDA,CENTRO,1999-09-01,-25.4357418,-49.2773141,Bar/Choperia
A DREHMER & CIA LTDA - ME,CENTRO,1994-05-02,-25.4378227,-49.2741162,Bar/Choperia
ADR - PASTEIS E LANCHES,TATUQUARA,2011-02-03,-25.561719,-49.3392778,Pastelaria
CAVERNA BAR,CENTRO,2005-10-17,-25.4260398,-49.2687612,Bar/Choperia
MARIA DE FATIMA VENCELOSKI,CENTRO,2005-05-10,-25.4300794,-49.2648657,Lanchonete
JOSHI PAES E CAFFE,CENTRO,2011-04-27,-25.431853,-49.2759434,Café
WW ALIMENTOS LTDA,CENTRO,2010-07-13,-25.431345,-49.2685085,Lanchonete
LUIZ FERNANDES DA SILVA - MERCEARIA,TATUQUARA,2000-01-10,-25.5621669,-49.3408458,Jogo
STYLICUS,CENTRO,2011-03-31,-25.4312981,-49.281838,Bar/Choperia
M  EMICO YAO & CIA LTDA,CENTRO,1984-05-01,-25.4305478,-49.2731712,Lanchonete
SIST NAC PREV E ASSIS -SINPAS,CENTRO,1982-01-02,-25.4309935,-49.2743453,Restaurante
SANDRA MARA DOS SANTOS & CIA LTDA,CENTRO,1998-11-01,-25.4334902,-49.2651938,Lanchonete
BON VIVANT DELICATESSEN COMERCIO DE ALIMENTOS LTDA,CENTRO,2009-07-03,-25.4412212,-49.27769,Lanchonete
BCJ RESTAURANTE LTDA,CENTRO,2009-05-21,-25.4368326,-49.2691609,Restaurante
JANDIR TROYNER DE ARRUDA,CENTRO,2006-02-01,-25.4326831,-49.2638911,Lanchonete
PAO DE QUEIJO,CENTRO,2009-04-22,-25.4334146,-49.2718674,Franquia
VIP RESTAURANTES CURITIBA LTDA,CENTRO,2011-12-01,-25.4412212,-49.27769,Lanchonete
CANELA COMERCIO DE ALIMENTACAO,CENTRO,2010-03-03,-25.4332224,-49.27686,Restaurante
"GONCALVES, KOPP E BECHER CAFETERIA E COMERCIO VAREJISTA DE MOVEIS LTDA",CENTRO,2010-10-28,-25.4351751,-49.2819206,Café
ONDA ALIMENTOS,CENTRO,2004-04-13,-25.4371266,-49.2802315,Lanchonete
MAES & CIA LTDA,CENTRO,2009-02-09,-25.4335852,-49.2735622,Restaurante
BOMBONIERES VITORIA LTDA,CENTRO,1988-11-11,-25.4328453,-49.2743472,Lanchonete
CRISTYAN ALLAN BASSANI ME,CENTRO,2008-07-18,-25.4406982,-49.2750613,Lanchonete
BELLEZER E COMERCIO DE ALIMENTOS LTDA,CENTRO,1998-03-27,-25.4412212,-49.27769,Padaria/Confeitaria
AMILCAR BARBOSA LAUFER,CENTRO,2009-03-25,-25.4382382,-49.2772447,Bar/Choperia
RESTAURANTE AVELINO,TATUQUARA,2004-06-23,-25.563537,-49.3394639,Restaurante
RESTAURANTE GIRA GRILL LTDA.,CENTRO,2007-07-16,-25.4285244,-49.2671619,Churrascaria/Grill
YOGUTI FRIENDS,BATEL,2011-11-07,-25.4385486,-49.2817057,Mercado/Mercearia
MBG CAFE E EVENTOS LTDA,CENTRO,2013-11-04,-25.4326645,-49.2792343,Café
MESCLADO CAFE,CENTRO,2010-05-18,-25.4302352,-49.274497,Café
MUNIZ PIZZARIA LTDA,CENTRO,2004-05-25,-25.4319697,-49.2615999,Pizzaria
GTM BAR E EVENTOS LTDA,BATEL,2006-02-22,-25.4432251,-49.2887708,Bar/Choperia
PO DE QUEIJO MASTER,CENTRO,2007-05-10,-25.4290604,-49.2700689,Lanchonete
HERCULANOS LANCHES LTDA,CENTRO,2008-10-24,-25.4336082,-49.2722362,Lanchonete
A C L RESTAURANTE LTDA,CENTRO,1995-10-16,-25.4352064,-49.2694856,Padaria/Confeitaria
PASTELARIA E LANCHONETE CHEN WO LTDA,CENTRO,2000-08-01,-25.4355205,-49.2722342,Pastelaria
HAMBURGUERIA DO VICENTE,BATEL,2007-04-20,-25.4402504,-49.2945938,Fastfood
CENTRO VERDE REFEICOES INDUSTR LT,CENTRO,1992-01-02,-25.4349867,-49.2701585,Restaurante
DECLAUDE COMERCIO DE DOCES LTDA,CENTRO,1991-10-01,-25.4385605,-49.2696014,Padaria/Confeitaria
SABOR CASEIRO,CENTRO,2010-08-25,-25.4294134,-49.2630752,Bar/Choperia
LUISA LANCHES,CENTRO,2010-12-22,-25.4353864,-49.2668517,Padaria/Confeitaria
ROMANA KAWALEC BOREK,CENTRO,1993-11-01,-25.4340669,-49.2786074,Restaurante
BAR E RESTAURANTE GALVAO LTDA,CENTRO,1990-05-15,-25.4365132,-49.2692676,Bar/Choperia
PAO DE QUEIJO MASTER,CENTRO,2006-09-01,-25.4297505,-49.2656483,Lanchonete
NEW START SHOPPING CURITIBA ALIMENTOS LTDA - ME,CENTRO,2012-10-30,-25.4412212,-49.27769,Lanchonete
MULTI FOODS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA - ME,CENTRO,2002-06-10,-25.4347122,-49.2749303,Lanchonete
MARCOS BATISTA VIEIRA 03298564990,CENTRO,2012-11-20,-25.4286062,-49.2623527,Lanchonete
BLYTYZ HAPPY HOUR,BATEL,2003-06-07,-25.4358609,-49.2860806,Bar/Choperia
MFB ALIMENTOS LTDA,BATEL,2007-04-16,-25.4346456,-49.283998,Pizzaria
RESPAR J R M  COM ALIMENTOS LTDA,CENTRO,1990-09-25,-25.4321173,-49.2754584,Lanchonete
CHEF VERGE CRYSTAL,BATEL,2011-09-26,-25.4385486,-49.2817057,Lanchonete
C  H  R  ALIMENTOS LTDA,CENTRO,1990-09-01,-25.4340052,-49.2647815,Lanchonete
PAO DE QUEIJO MASTER,CENTRO,2009-04-23,-25.4352164,-49.2699051,Lanchonete
GOLDEN RESTAURANTE,CENTRO,2012-06-25,-25.4299483,-49.2632913,Lanchonete
PASTELARIA CARMAN LTDA,CENTRO,1997-09-15,-25.4335751,-49.2718479,Pastelaria
CANTIPAR-COM DE ALIMENTOS LTDA,CENTRO,1985-07-01,-25.426419,-49.2621343,Lanchonete
RESTAURANTE ESTILO GRILL LTDA.,CENTRO,2008-01-04,-25.4347091,-49.2712501,Churrascaria/Grill
PAPA PASTEL,CENTRO,2011-09-16,-25.4305628,-49.2753891,Pastelaria
MARIA DO CARMO BATISTA DA SILVA,CENTRO,2003-06-01,-25.435862,-49.2623904,Jogo
ATEF MOHAMED TASSI,CENTRO,1997-04-01,-25.4353268,-49.2699685,Lanchonete
BORGES & FERREIRA LTDA,CENTRO,1996-03-15,-25.4345661,-49.2728653,Lanchonete
ELENICE DE SOUZA RODRIGUES 02721850946,TATUQUARA,2011-04-05,-25.5797237,-49.3356217,Bar/Choperia
BLINI RESTAURANTE LTDA,BATEL,2002-02-25,-25.437696,-49.2917829,Restaurante
IVONNE ANWAR OMAIRI,CENTRO,1996-06-10,-25.4302603,-49.2716468,Lanchonete
ARI E RE II COMERCIO DE ALIMENTOS LTDA.,CENTRO,2012-09-10,-25.4290171,-49.2610561,Restaurante
RESTAURANTE VITORIA,CENTRO,1991-03-15,-25.4264811,-49.2696491,Restaurante
JOAO IWANAGA & CIA LTDA,TATUQUARA,1995-11-24,-25.4131985,-49.2216005,Lanchonete
AREIBIAN RESTAURANTE LTDA,BATEL,1998-10-01,-25.4356016,-49.2851922,Restaurante
RESTAURANTE NOVO ALVORECER,CENTRO,2010-10-18,-25.4323288,-49.2606775,Restaurante
CBS CONSULTING EMPRESARIAL LTDA.,BATEL,2007-11-28,-25.4464379,-49.2941396,Bar/Choperia
SANDRO DANIEL TAVARES,CENTRO,1992-10-20,-25.4286252,-49.2706245,Bar/Choperia
CAFE BRASIL,CENTRO,2013-11-07,-25.431055,-49.2794468,Café
SABOR E POESIA LANCHES LTDA,CENTRO,1999-01-19,-25.4324107,-49.2666416,Lanchonete
GFOX BAR,BATEL,1996-06-01,-25.4386967,-49.2793732,Bar/Choperia
RICARDO YOSHIO TANIGUCHI,CENTRO,2001-01-17,-25.4313217,-49.2697778,Lanchonete
WU SHUYING,CENTRO,2009-11-04,-25.4360584,-49.2637752,Restaurante
TATA & MAMY CAFETERIA LTDA,CENTRO,2006-10-02,-25.4314691,-49.2695435,Café
JETA COMERCIO DE CALCADOS LTDA,BATEL,2008-01-31,-25.4364524,-49.2841153,Bar/Choperia
LANCHONETE YANG LTDA,CENTRO,2008-03-19,-25.4284713,-49.2708175,Lanchonete
BAR E RESTAURANTE DO GALO LTDA,CENTRO,1984-09-01,-25.4354045,-49.2642307,Bar/Choperia
DARCI GUEDES,CENTRO,1998-11-03,-25.4328191,-49.2594267,Bar/Choperia
TABOO GASTRONOMIA LTDA ME,BATEL,2004-08-09,-25.4444873,-49.2929938,Gourmet
IVO FURLAN,CENTRO,1989-02-01,-25.4336274,-49.262227,Restaurante
CELSO JOAO MACHADO,CENTRO,1995-02-10,-25.4271811,-49.2684207,Pizzaria
LANCHONETE SORAYA LTDA,CENTRO,1995-12-11,-25.4342684,-49.2715583,Lanchonete
CAPRICE DOCARIA LTDA,CENTRO,2002-04-02,-25.4353864,-49.2668517,Padaria/Confeitaria
SI.BO WORLD FOOD,BATEL,2004-06-21,-25.4374694,-49.280782,Restaurante
THE FIFTIES - FILIAL SHOPPING BATEL,BATEL,2013-06-26,-25.4431516,-49.2908574,Bar/Choperia
RESTAURANTE AROMA DA FAZENDA,CENTRO,2005-11-21,-25.4356581,-49.2681653,Restaurante
RESTAURANTE E LANCHONETE LUNG FUNG LTDA,CENTRO,1997-05-02,-25.4287271,-49.2702684,Bar/Choperia
BAR CASA AZUL,CENTRO,2011-08-18,-25.4325546,-49.2582286,Bar/Choperia
RESTAURANTE SAN GERMAN,CENTRO,2010-04-28,-25.4298488,-49.2668942,Lanchonete
SILVIA BARBOSA MINARI,CENTRO,1994-02-01,-25.4335195,-49.2721556,Bar/Choperia
CENTRO QUILO GRILL,CENTRO,2010-05-04,-25.4322115,-49.2775375,Churrascaria/Grill
PULO DO GATO,CENTRO,2011-09-01,-25.427077,-49.2684278,Jogo
FORTUNATA COMERCIO DE PRODUTOS NATURAIS LTDA,BATEL,2000-11-17,-25.4455456,-49.2949577,Bar/Choperia
RESTAURANTE KU-KA LTDA,CENTRO,1981-12-15,-25.4314263,-49.2785121,Bar/Choperia
AZAURI BATSCHAUER GATTI 66145449934,CENTRO,2012-09-05,-25.4272097,-49.2706579,Lanchonete
MERI IKEDA E CIA LTDA,TATUQUARA,1984-07-23,-25.4131985,-49.2216005,Lanchonete
ERW COMESTIVEIS LTDA,CENTRO,2005-12-05,-25.4334808,-49.2811607,Mercado/Mercearia
SABOR DELICIA,CENTRO,2003-03-10,-25.4383488,-49.2726127,Lanchonete
BAR DO CARLAO,TATUQUARA,2011-08-02,-25.5602518,-49.3383416,Bar/Choperia
NATALES SONHOS & LANCHES LTDA ME,CENTRO,1997-11-16,-25.4343007,-49.2795046,Lanchonete
J A S FUGIWARA EPP,CENTRO,2005-07-12,-25.4412212,-49.27769,Lanchonete
RESTAURANTE PADRINO,CENTRO,2005-02-01,-25.4316504,-49.2751523,Restaurante
MAXCOAR ALIMENTACAO LTDA,CENTRO,1995-06-01,-25.4308188,-49.2714185,Lanchonete
S. MARTINS & CIA LTDA,BATEL,2011-09-28,-25.4449769,-49.2938709,Bar/Choperia
R CURY & CIA LTDA,BATEL,2000-07-27,-25.4444873,-49.2929938,Bar/Choperia
EDINA JACINTO DA SILVA 83552111972,TATUQUARA,2014-01-22,-25.5674233,-49.3314026,Bar/Choperia
FRACTIONAL OWNERSHIP - ASSESSORIA EMPRESARIAL LTDA,CENTRO,1999-12-12,-25.4319187,-49.2744865,Lanchonete
CHEE LANCHES LTDA. EPP.,CENTRO,2009-03-23,-25.4302085,-49.2689686,Padaria/Confeitaria
LANCHONETE GUOSHUN LTDA ME,CENTRO,2007-04-01,-25.433131,-49.2767036,Lanchonete
CHEIRO VERDE BATEL,BATEL,2011-09-26,-25.4411052,-49.2861979,Lanchonete
ELZA MADALENA DE L  NASCIMENTO,CENTRO,1994-10-15,-25.4380253,-49.278586,Bar/Choperia
DENISE DE PAULA LINS 34295112836,CENTRO,2013-02-06,-25.4320475,-49.2717497,Lanchonete
MIKRO DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,CENTRO,1984-07-10,-25.4329018,-49.259009,Lanchonete
JAMES BAR PETISCARIA LTDA,BATEL,1999-05-04,-25.4364031,-49.2852698,Bar/Choperia
ZATTAR & FERREIRA LTDA,CENTRO,1993-09-01,-25.4342814,-49.2745412,Lanchonete
LUIZA DA SILVA SANTOS - LANCHONETE,CENTRO,2011-02-22,-25.4271811,-49.2684207,Bar/Choperia
HIPOLITA BORCATES DE CAMARGO SCHINEMANN - LANCHONETE,CENTRO,2002-11-05,-25.4348963,-49.2693423,Típico
SONIA APARECIDA BERNARDO DOS SANTOS,CENTRO,1996-10-16,-25.4341749,-49.2826223,Restaurante
DON GOURMET,CENTRO,2011-08-22,-25.4335777,-49.2809694,Gourmet
JOAO CARLOS DE OLIVEIRA NERI ME,CENTRO,2003-05-03,-25.4374221,-49.2777589,Lanchonete
SORVETE I CAFE,CENTRO,2013-04-23,-25.4293681,-49.2696858,Café
ERIVELTO CHUEIRE 24946509844,TATUQUARA,2010-07-29,-25.5583661,-49.3289234,Jogo
CRISIMPORT COMERCIO IMPORTACAO E EXPORTACAO LTDA,BATEL,1996-03-14,-25.4399516,-49.2814836,Lanchonete
PASTELARIA ANDSON LTDA,CENTRO,1993-10-01,-25.4359654,-49.2712418,Pastelaria
LANCHONETE SKILANCHES LTDA,CENTRO,1997-11-01,-25.4287509,-49.2693542,Bar/Choperia
MADERO BATEL,BATEL,2013-08-26,-25.4461524,-49.2950554,Franquia
V  A  NIIMOTO,CENTRO,1999-08-06,-25.4345923,-49.2763081,Lanchonete
JOAO VALERIO MAGALHAES DE SOUZA - LANCHES,CENTRO,2004-07-16,-25.4282669,-49.2639897,Lanchonete
COMERCIO CALCADOS ROUP JAIME LTDA,CENTRO,1983-06-01,-25.4283341,-49.2695499,Bar/Choperia
HIPERCAO,BATEL,2002-10-10,-25.4397717,-49.2810832,Lanchonete
SOB MEDIDA,CENTRO,2007-05-15,-25.430059,-49.2685549,Lanchonete
GERSON DOS SANTOS CORREA,CENTRO,1999-02-20,-25.4372783,-49.2743717,Pizzaria
EDSON ANTONIO DA SILDA-REPRESENT,CENTRO,1985-09-20,-25.4370692,-49.2744387,Lanchonete
EMPORIO PORTUGA,BATEL,2013-07-24,-25.4412782,-49.2849884,Bar/Choperia
MARILI TREVIZAN RISTOW RESTAURANTE ME,CENTRO,2004-08-12,-25.4262549,-49.2634752,Restaurante
ALEXANDRA REGINA PAZZINATTO,CENTRO,2000-11-01,-25.4332746,-49.2772623,Pizzaria
GKX COMERCIO DE ALIMENTOS LTDA ME,CENTRO,2003-09-01,-25.4324374,-49.2750357,Lanchonete
LIQUORI CAFETERIA,CENTRO,2012-01-03,-25.4412212,-49.27769,Café
O REI DA EMPADA,CENTRO,2012-07-18,-25.431406,-49.2630663,Cantina
PASTELARIA ORIENTAL,CENTRO,2009-09-21,-25.4355432,-49.2707026,Pastelaria
PAO DE QUEIJO MASTER,CENTRO,2010-07-28,-25.4334854,-49.265714,Lanchonete
LANCHONETE E SUCOS WINNER S LTDA,CENTRO,1988-05-01,-25.434186,-49.2746475,Lanchonete
CONFEITARIA VEVE LTDA,CENTRO,2001-01-11,-25.4325477,-49.2701387,Padaria/Confeitaria
JODOR RODIZIO PIZZARIA LTDA,BATEL,2001-07-11,-25.4431826,-49.2921942,Pizzaria
RESTAURANTE GUAIRA GRILL LTDA,CENTRO,1999-04-01,-25.4277965,-49.264492,Churrascaria/Grill
LANCHONETE E PASTELARIA LONG XING LTDA,CENTRO,2002-10-01,-25.4342144,-49.2798323,Pastelaria
M EMICO YAO & CIA LTDA,CENTRO,1989-07-27,-25.4289015,-49.269338,Lanchonete
LANCHONETE PAO DE QUEIJO,CENTRO,2003-03-12,-25.4291229,-49.268124,Lanchonete
ORIENTE SHAWARMA,CENTRO,2009-04-27,-25.4310955,-49.2774695,Bar/Choperia
NOBRE CAFE,CENTRO,2013-11-22,-25.4382418,-49.2750835,Café
ZHOU ZIJUN,CENTRO,2009-03-11,-25.4324032,-49.2629162,Restaurante
LAIZ CRISTINE VILBERT,CENTRO,2002-10-01,-25.4359952,-49.271971,Lanchonete
HELIO FRANCISCO DE SOUZA,CENTRO,1990-04-02,-25.4370817,-49.2747346,Lanchonete
NECTAR RESTAURANTE SUPER VEGET LT,CENTRO,1983-03-28,-25.4333824,-49.2741754,Restaurante
FANHA & FANHA LTDA,CENTRO,2000-05-18,-25.4352558,-49.2785467,Bar/Choperia
CHEF DU CURITIBA,CENTRO,2010-10-19,-25.4412212,-49.27769,Lanchonete
CARMELA CAFE LTDA  - ME,CENTRO,2007-10-23,-25.4261963,-49.2633071,Café
BROLLO S BURGUER LTDA,CENTRO,2001-11-20,-25.4278086,-49.264008,Fastfood
SACAKI SUCOS E DELICIAS LTDA,CENTRO,2003-12-01,-25.434227,-49.2745387,Lanchonete
FRANCIMAR DE SOUZA 01731142960,TATUQUARA,2013-01-20,-25.5577789,-49.339814,Bar/Choperia
LANCHONETE CAFE DOS ALPES,CENTRO,2009-02-13,-25.4291595,-49.2730287,Café
LEONARDO PEREIRA GONCALVES ME,TATUQUARA,2008-11-11,-25.5703293,-49.3376485,Bar/Choperia
RESTAURANTE YONXIN LTDA,BATEL,2007-10-22,-25.444484,-49.2847798,Restaurante
RESTAURANTE VERAO LTDA,CENTRO,1993-07-29,-25.430756,-49.2719364,Padaria/Confeitaria
LANCHONETE PANTANAL DE SANTA RITA LTDA,TATUQUARA,2003-07-07,-25.5583148,-49.3329891,Lanchonete
EMPORIO CHOCOLAT DA MILANO,BATEL,2009-10-19,-25.4388484,-49.2885965,Lanchonete
JACQUELINE HARKOT FILIPKOWSKI ROCHA,BATEL,1993-11-15,-25.4414686,-49.2844977,Lanchonete
ADELZIRA ALVES CONCEICAO ME,CENTRO,2011-01-06,-25.4313844,-49.2640976,Bar/Choperia
LANCHONETE SENADOR,CENTRO,2006-03-01,-25.4327048,-49.2644502,Lanchonete
LANCHONETE DO TRABALHO LTDA,CENTRO,1994-11-01,-25.4348129,-49.2809005,Pastelaria
MARIA DA GRACA RAMOS D AGOSTIN,CENTRO,2000-09-01,-25.4314184,-49.2641927,Lanchonete
SANTA MARGUERITA COMERCIO DE ALIMENTOS LTDA,BATEL,2002-07-16,-25.4457389,-49.2917154,Bar/Choperia
RESTAURANTE E CONFEITARIA DOCE TRIUNFO LTDA - ME,CENTRO,2009-07-29,-25.4357333,-49.2694767,Padaria/Confeitaria
BAR DO DARCY,TATUQUARA,2006-10-02,-25.5637244,-49.3305,Jogo
MR  SMITH LANCHES LTDA,CENTRO,2001-04-02,-25.4271093,-49.2623689,Bar/Choperia
JORGE TAKEMOTO,CENTRO,2000-12-15,-25.433916,-49.2792163,Lanchonete
PONTO CERTO,CENTRO,1996-07-01,-25.4302096,-49.2778934,Lanchonete
MAGALHAES JR RESTAURANTE LTDA,CENTRO,2006-10-10,-25.4278869,-49.265469,Lanchonete
LUCIA DE ARAUJO SANTANA,CENTRO,1999-06-09,-25.4317536,-49.2731487,Pizzaria
SUL AMERICA MARCAS E PATENT SC LT,CENTRO,1980-12-04,-25.4324913,-49.2713871,Lanchonete
